Section_ID,Section_Title,Content,text,clean_text,tokens,processed_text,word_count
1,Title,Deep Learning-Based Brain Tumor Detection Using MRI Images,Title. Deep Learning-Based Brain Tumor Detection Using MRI Images,Title Deep LearningBased Brain Tumor Detection Using MRI Images,"['Title', 'Deep', 'LearningBased', 'Brain', 'Tumor', 'Detection', 'Using', 'MRI', 'Images']",Title Deep LearningBased Brain Tumor Detection Using MRI Images,9
2,Abstract,Brain tumor detection is one of the most important applications of deep learning in medical imaging. This study explores convolutional neural networks and transfer learning models for automatic brain tumor classification using MRI images. The proposed approach aims to improve diagnostic accuracy while reducing manual effort.,Abstract. Brain tumor detection is one of the most important applications of deep learning in medical imaging. This study explores convolutional neural networks and transfer learning models for automatic brain tumor classification using MRI images. The proposed approach aims to improve diagnostic accuracy while reducing manual effort.,Abstract Brain tumor detection is one of the most important applications of deep learning in medical imaging This study explores convolutional neural networks and transfer learning models for automatic brain tumor classification using MRI images The proposed approach aims to improve diagnostic accuracy while reducing manual effort,"['Abstract', 'Brain', 'tumor', 'detection', 'one', 'important', 'application', 'deep', 'learning', 'medical', 'imaging', 'This', 'study', 'explores', 'convolutional', 'neural', 'network', 'transfer', 'learning', 'model', 'automatic', 'brain', 'tumor', 'classification', 'using', 'MRI', 'image', 'The', 'proposed', 'approach', 'aim', 'improve', 'diagnostic', 'accuracy', 'reducing', 'manual', 'effort']",Abstract Brain tumor detection one important application deep learning medical imaging This study explores convolutional neural network transfer learning model automatic brain tumor classification using MRI image The proposed approach aim improve diagnostic accuracy reducing manual effort,37
3,Keywords,"Brain Tumor, Deep Learning, MRI, CNN, ResNet50, Medical Imaging, Artificial Intelligence, Classification","Keywords. Brain Tumor, Deep Learning, MRI, CNN, ResNet50, Medical Imaging, Artificial Intelligence, Classification",Keywords Brain Tumor Deep Learning MRI CNN ResNet50 Medical Imaging Artificial Intelligence Classification,"['Keywords', 'Brain', 'Tumor', 'Deep', 'Learning', 'MRI', 'CNN', 'ResNet50', 'Medical', 'Imaging', 'Artificial', 'Intelligence', 'Classification']",Keywords Brain Tumor Deep Learning MRI CNN ResNet50 Medical Imaging Artificial Intelligence Classification,13
4,Introduction,Brain tumors are abnormal growths of cells inside the brain. Early detection is essential because delayed diagnosis may lead to severe complications. Magnetic Resonance Imaging (MRI) is widely used for detecting brain tumors. Deep learning models have demonstrated excellent performance in analyzing MRI images automatically.,Introduction. Brain tumors are abnormal growths of cells inside the brain. Early detection is essential because delayed diagnosis may lead to severe complications. Magnetic Resonance Imaging (MRI) is widely used for detecting brain tumors. Deep learning models have demonstrated excellent performance in analyzing MRI images automatically.,Introduction Brain tumors are abnormal growths of cells inside the brain Early detection is essential because delayed diagnosis may lead to severe complications Magnetic Resonance Imaging MRI is widely used for detecting brain tumors Deep learning models have demonstrated excellent performance in analyzing MRI images automatically,"['Introduction', 'Brain', 'tumor', 'abnormal', 'growth', 'cell', 'inside', 'brain', 'Early', 'detection', 'essential', 'delayed', 'diagnosis', 'may', 'lead', 'severe', 'complication', 'Magnetic', 'Resonance', 'Imaging', 'MRI', 'widely', 'used', 'detecting', 'brain', 'tumor', 'Deep', 'learning', 'model', 'demonstrated', 'excellent', 'performance', 'analyzing', 'MRI', 'image', 'automatically']",Introduction Brain tumor abnormal growth cell inside brain Early detection essential delayed diagnosis may lead severe complication Magnetic Resonance Imaging MRI widely used detecting brain tumor Deep learning model demonstrated excellent performance analyzing MRI image automatically,36
5,Problem Statement,"Traditional diagnosis relies heavily on radiologists, making the process time-consuming and prone to human error. An automated deep learning system can assist doctors by providing faster and more accurate predictions.","Problem Statement. Traditional diagnosis relies heavily on radiologists, making the process time-consuming and prone to human error. An automated deep learning system can assist doctors by providing faster and more accurate predictions.",Problem Statement Traditional diagnosis relies heavily on radiologists making the process timeconsuming and prone to human error An automated deep learning system can assist doctors by providing faster and more accurate predictions,"['Problem', 'Statement', 'Traditional', 'diagnosis', 'relies', 'heavily', 'radiologist', 'making', 'process', 'timeconsuming', 'prone', 'human', 'error', 'An', 'automated', 'deep', 'learning', 'system', 'assist', 'doctor', 'providing', 'faster', 'accurate', 'prediction']",Problem Statement Traditional diagnosis relies heavily radiologist making process timeconsuming prone human error An automated deep learning system assist doctor providing faster accurate prediction,24
6,Objectives,"The objectives of this study are to develop a CNN-based brain tumor detection model, compare transfer learning models such as ResNet50 and VGG16, and evaluate their classification performance.","Objectives. The objectives of this study are to develop a CNN-based brain tumor detection model, compare transfer learning models such as ResNet50 and VGG16, and evaluate their classification performance.",Objectives The objectives of this study are to develop a CNNbased brain tumor detection model compare transfer learning models such as ResNet50 and VGG16 and evaluate their classification performance,"['Objectives', 'The', 'objective', 'study', 'develop', 'CNNbased', 'brain', 'tumor', 'detection', 'model', 'compare', 'transfer', 'learning', 'model', 'ResNet50', 'VGG16', 'evaluate', 'classification', 'performance']",Objectives The objective study develop CNNbased brain tumor detection model compare transfer learning model ResNet50 VGG16 evaluate classification performance,19
7,Literature Review,"Several studies have applied CNN, VGG16, ResNet50, EfficientNet, and Vision Transformers for brain tumor detection. Transfer learning has significantly improved accuracy while reducing training time.","Literature Review. Several studies have applied CNN, VGG16, ResNet50, EfficientNet, and Vision Transformers for brain tumor detection. Transfer learning has significantly improved accuracy while reducing training time.",Literature Review Several studies have applied CNN VGG16 ResNet50 EfficientNet and Vision Transformers for brain tumor detection Transfer learning has significantly improved accuracy while reducing training time,"['Literature', 'Review', 'Several', 'study', 'applied', 'CNN', 'VGG16', 'ResNet50', 'EfficientNet', 'Vision', 'Transformers', 'brain', 'tumor', 'detection', 'Transfer', 'learning', 'significantly', 'improved', 'accuracy', 'reducing', 'training', 'time']",Literature Review Several study applied CNN VGG16 ResNet50 EfficientNet Vision Transformers brain tumor detection Transfer learning significantly improved accuracy reducing training time,22
8,Artificial Intelligence,"Artificial Intelligence enables machines to simulate human intelligence and solve complex problems. AI is widely used in healthcare for diagnosis, prediction, and decision support systems.","Artificial Intelligence. Artificial Intelligence enables machines to simulate human intelligence and solve complex problems. AI is widely used in healthcare for diagnosis, prediction, and decision support systems.",Artificial Intelligence Artificial Intelligence enables machines to simulate human intelligence and solve complex problems AI is widely used in healthcare for diagnosis prediction and decision support systems,"['Artificial', 'Intelligence', 'Artificial', 'Intelligence', 'enables', 'machine', 'simulate', 'human', 'intelligence', 'solve', 'complex', 'problem', 'AI', 'widely', 'used', 'healthcare', 'diagnosis', 'prediction', 'decision', 'support', 'system']",Artificial Intelligence Artificial Intelligence enables machine simulate human intelligence solve complex problem AI widely used healthcare diagnosis prediction decision support system,21
9,Machine Learning,Machine Learning is a subset of Artificial Intelligence that allows computers to learn patterns from data without explicit programming.,Machine Learning. Machine Learning is a subset of Artificial Intelligence that allows computers to learn patterns from data without explicit programming.,Machine Learning Machine Learning is a subset of Artificial Intelligence that allows computers to learn patterns from data without explicit programming,"['Machine', 'Learning', 'Machine', 'Learning', 'subset', 'Artificial', 'Intelligence', 'allows', 'computer', 'learn', 'pattern', 'data', 'without', 'explicit', 'programming']",Machine Learning Machine Learning subset Artificial Intelligence allows computer learn pattern data without explicit programming,15
10,Deep Learning,Deep Learning is a branch of machine learning that uses multiple neural network layers to learn hierarchical representations from data.,Deep Learning. Deep Learning is a branch of machine learning that uses multiple neural network layers to learn hierarchical representations from data.,Deep Learning Deep Learning is a branch of machine learning that uses multiple neural network layers to learn hierarchical representations from data,"['Deep', 'Learning', 'Deep', 'Learning', 'branch', 'machine', 'learning', 'us', 'multiple', 'neural', 'network', 'layer', 'learn', 'hierarchical', 'representation', 'data']",Deep Learning Deep Learning branch machine learning us multiple neural network layer learn hierarchical representation data,16
